Company,Website,Address
Marcelle's Kitchen,marcelleskitchen.ca,"Ontario, CA"
Nanna’s Bakery,--,"New Brunswick, CA"
Molly's Bistro Bakery,mollysbistrobbakery.ca,"Ontario, CA"
Pizza on Earth,pizzainearth.ca,"Ontario, CA"
AMRA Bakery DBA European Breads Bakery,--,"British Columbia, CA"
Honey Grove Bakery,www.honeygrovebakery.ca,"British Columbia, CA"
Lexy’s Bake Shop,--,"Ontario, CA"
Boon Bakery Inc.,boonbakery.ca,"Ontario, CA"
Newfoundland Chocolate Company,www.newfoundlandchocolatecompany.com,"Newfoundland and Labrador, CA"
Piggy and Paisley Tea Room,piggyandpaisley.ca,"British Columbia, CA"
Comeau’s Farm Market,--,"Nova Scotia, CA"
Upper Crust,,"Ontario, CA"
Dufflet Pastries,,"Ontario, CA"
Del's Pastry Limited,www.delspastry.com,"Ontario, CA"
Backerhaus Veit Ltd,--,"Ontario, CA"
Backerhaus Veit Ltd,--,"Ontario, CA"
Give and Go Prepared Foods Inc,,"Ontario, CA"
Backerhaus Veit Ltd,--,"Ontario, CA"
Backerhaus Veit Ltd,--,"Ontario, CA"
Portofino Wholesale Bakery,,"British Columbia, CA"
Choices Markets Ltd,--,"British Columbia, CA"
Mrs Dunsters 1996 Inc,,"New Brunswick, CA"
Tradition Fine Foods Ltd,,"Ontario, CA"
Gala Bakery,,"Ontario, CA"
Calgary Italian Bakery,,"Alberta, CA"
Ozery Bakery,,"Ontario, CA"
Bridor Inc,,"Quebec, CA"
CBL Bakeries Ltd,www.cinnaroll.com,"Alberta, CA"
Milano Bakeries Ltd,,"Ontario, CA"
Funn Food Factory Inc oaWinsor Bakery,,"Newfoundland and Labrador, CA"
Island City Baking Co,,"British Columbia, CA"
Island City Baking Co,,"British Columbia, CA"
Conseil de la Boulangerie du Quebec,--,"Quebec, CA"
Ozery Bakery,www.ozerybakery.com,"Ontario, CA"
Ozery Bakery,--,"Ontario, CA"
Choices Markets Ltd,--,"British Columbia, CA"
Olivier's La Boulangerie,--,"British Columbia, CA"
Milano Bakeries,--,"Ontario, CA"
La Baguette & l’Échalote/BLÉ BAKERY,https://labaguette.ca/,"British Columbia, CA"
La Baguette & l’Échalote/ BLÉ BAKERY,https://labaguette.ca/,"British Columbia, CA"
Give Go Prepared Foods Inc,--,"Ontario, CA"
Demetres Manufactory Ltd.,--,"Ontario, CA"
Niche Bakers Corp,nichebakers.com,"Ontario, CA"
La Baguette & l’Échalote/BLÉ BAKERY,--,"British Columbia, CA"
La Baguette & l’Échalote/BLÉ BAKERY,--,"British Columbia, CA"
La Baguette & l’Échalote/ BLÉ BAKERY,--,"British Columbia, CA"
La Baguette & l’Échalote/ BLÉ BAKERY,--,"British Columbia, CA"
Northern Alberta Institute of Technology,,"Alberta, CA"
Niagara College,,"Ontario, CA"
SAIT School of Hospitality and Tourism,--,"Alberta, CA"
Vancouver Community College,,"British Columbia, CA"
SAIT School of Hospitality and Tourism,,"Alberta, CA"
Conestoga College,,"Ontario, CA"
Vancouver Island University,,"British Columbia, CA"
George Brown College,www.georgebrown.ca/chefschool,"Ontario, CA"
Algonquin College,,"Ontario, CA"
Grain Farmers of Ontario,--,"Ontario, CA"
Canadian Sugar Institute,,"Ontario, CA"
Red River College Polytech,rrc.ca,"Manitoba, CA"
George Brown College,https://missjuliebakes.com,"Ontario, CA"
LaSalle College Vancouver,--,"British Columbia, CA"
Fred Victor Centre,https://www.fredvictor.org/,"Ontario, CA"
College of the North Atlantic,--,"Newfoundland and Labrador, CA"
Tim Hortons (Restaurant Brands International),--,"Ontario, CA"
Costco Wholesale CA Ltd,,"Ontario, CA"
Reiser CA Co,,"Ontario, CA"
Embassy Ingredients Ltd,,"Ontario, CA"
MIWE CA,,"Ontario, CA"
Chocolate Smet CA Inc,,"Ontario, CA"
Redpath Sugar Ltd,,"Ontario, CA"
AliproMistral Ingredients Inc,,"Quebec, CA"
IMCD CA Limited,,"Ontario, CA"
Pan Glo Coatings CA,,"Ontario, CA"
Tielman North America,,"Ontario, CA"
SEW Eurodrive,,"Ontario, CA"
Farinart Inc,,"Quebec, CA"
Quadra Ingredients,--,"Ontario, CA"
Multivac CA,ca.multivac.com,"Ontario, CA"
Lallemand Inc,,"Quebec, CA"
Caldic CA Inc,,"Ontario, CA"
NutraSun Foods Ltd,--,"Saskatchewan, CA"
Ingredion CA,,"Ontario, CA"
Puratos CA Inc,,"Ontario, CA"
Kwik Lok Corporation,--,"Ontario, CA"
Global Egg Corporation,,"Ontario, CA"
BakeMark CA,--,"British Columbia, CA"
Chicago Metallic Bakeware CA,,"Ontario, CA"
Richardson Food Ingredients,--,"Manitoba, CA"
Harvest Corporation,,"British Columbia, CA"
ABI Ltd,--,"Ontario, CA"
Farm Credit Canada (FCC),--,"Ontario, CA"
Unifiller Systems Inc,,"British Columbia, CA"
Ardent Mills,,"Ontario, CA"
AB Mauri,,"Quebec, CA"
Burnbrae Farms Limited,,"Ontario, CA"
ADM Milling Company,,"Ontario, CA"
Handtmann CA Limited,--,"Ontario, CA"
Buhler CA Inc,,"Ontario, CA"
PH Milling Group,,"Ontario, CA"
Nutriart sec,,"Quebec, CA"
KLR Systems Inc.,,"QUE, CA"
LANTIC INC.,--,"Ontario, CA"
Vale Packaging Limited,www.valepackaging.ca,"Nova Scotia, CA"
Vale Packaging Limited,,"Nova Scotia, CA"
Ireks North America Ltd,,"Ontario, CA"
AMF Bakery Systems,,"Ontario, CA"
Food Preventive Control Services CA Inc.,,"Ontario, CA"
Bakers Journal,,"Ontario, CA"
Caldic CA,,"British Columbia, CA"
Omori North America Inc,www.omori-na.com,"Ontario, CA"
Ingredion Canada,ingredion.com,"Ontario, CA"
Handtmann Canada Limited,--,"Ontario, CA"
Olera Ingredients & Distribution,http://www.olera.ca/,"British Columbia, CA"
RF Bakery Equipment,www.rfbakery.com,"British Columbia, CA"
PH Milling Group,--,"Ontario, CA"
Lesaffre Corporation,--,"Quebec, CA"
Cana Packing Inc.,canapacking.ca,"Nova Scotia, CA"
FlexiBake ERP Software,https://www.flexibake.com/,"British Columbia, CA"
Master Martini Canada,--,"Ontario, CA"
Master Martini Canada,--,"Ontario, CA"
Master Martini Canada,--,"Ontario, CA"
Bunge Canada,--,"Ontario, CA"
Lucid Corp,www.lucidcorp.com,"Ontario, CA"
McCormick Canada,--,"Ontario, CA"
Lucid Corp,--,"Ontario, CA"
Quadra Ingredients,--,"Ontario, CA"
IREKS North America Ltd,www.ireksnorthamerica.com,"Ontario, CA"
Pemberton & Associates,www.pemcom.com,"Ontario, CA"
SEW Eurodrive,--,"Ontario, CA"
Vanilla Charm (DEW IMPORTS),www.vanillacharm.com,"Ontario, CA"
HOBART CANADA,--,"Ontario, CA"
Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA"
Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA"
Rettenmaier Canada,https://rettenmaier.ca/jrs-ca,"Ontario, CA"
Cargill Limited,--,"Manitoba, CA"
Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA"
Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA"
Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA"
Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA"
Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA"
Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA"
Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA"
Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA"
Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA"
Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA"
Barentz,https://www.barentz-na.com/en/canada/human-nutrition,"Ontario, CA"
Gay Lea Foods,--,"British Columbia, CA"
Vanillablossom Flavors Inc,www.vanillablossom.com,"British Columbia, CA"
Fortress Technology,--,"Ontario, CA"
Rettenmaier Canada Inc,--,"Ontario, CA"
THiNK Ingredients,--,"Ontario, CA"
Enjay Converters Ltd.,https://www.enjay.com/,"Ontario, CA"
Enjay Converters Ltd.,https://www.enjay.com/,"Ontario, CA"
Dawn Foods,,"Ontario, CA"
AMF Bakery Systems,--,"Quebec, CA"
Zucchero Canada,WWW.ZUCCHEROCANADA.CA,"Alberta, CA"
Canada Cacao Company Inc,www.canadacacaocompany.com,"Alberta, CA"
Rexfab,www.rexfab.com,"Quebec, CA"
Kubota Brabender Technologie,https://www.kubota-bt.com/en/,"Ontario, CA"
Kubota Brabender Technologie,https://www.kubota-bt.com/en/,"Ontario, CA"
3PL Links Inc.,www.3pllinks.com,"Ontario, CA"
3PL,--,"Ontario, CA"
3PL,--,"Ontario, CA"
Lucid Corp,--,"Ontario, CA"
Lucid Corp,--,"Ontario, CA"
Lucid Corp,--,"Ontario, CA"
Tyers Foods International & FoodTec Canada Inc.,https://foodtec.ca/,"Ontario, CA"
PROREC,prorec.ca,"Quebec, CA"
Grasslands Food & Ingredients,https://grasslandsltd.com/,"Saskatchewan, CA"
Albany Packaging Inc.,--,"Ontario, CA"
Albany Packaging Inc.,--,"Ontario, CA"
MIWE,--,"Ontario, CA"
RF Bakery Equipment Ltd.,www.rfbakery.com,"British Columbia, CA"
Brigitte Balogh,--,"British Columbia, CA"
JDB Enterprise Inc.,Www.JDBenterprise.ca,"Ontario, CA"
Babette's Bread,--,"British Columbia, CA"
ADM/Matsutani LLC,www.fibersol.com,"Ontario, CA"
Sobeys,--,"Alberta, CA"
Cakes by Annamaria,https://cakesbyannamaria.wixsite.com/cakesbyannamaria,"Ontario, CA"
Carbonaut,--,"British Columbia, CA"
Cereals Canada,http://www.cerealscanada.ca,"Manitoba, CA"
Dava Cakes,Www.davacakes.com,"Ontario, CA"
Nestle Canada,--,"Ontario, CA"
MR. Charles Fine Foods,--,"Ontario, CA"
JAQS,--,"Ontario, CA"
Sweet Flour Bake Shop,--,"Ontario, CA"
Dexterra Horizon North,--,"Alberta, CA"
Monte Cristo Bakery,--,"British Columbia, CA"
Maysam Pastry Shop,--,"Ontario, CA"
Quadra Group,www.quadragroup.com,"Ontario, CA"
TBD,--,"Alberta, CA"
Quican Inc.,www.quican.com,"Ontario, CA"
Richardson Food & Ingredients,https://www.richardson.ca/richardson-food-ingredients/,"Manitoba, CA"
Paragon Glaze Consulting,,"Ontario, CA"
CanBake,,"Ontario, CA"
None provided,,"British Columbia, CA"
None provided,,"Ontario, CA"
None provided,,"British Columbia, CA"
None provided,,"Ontario, CA"
None provided,,"Ontario, CA"
None provided,,"British Columbia, CA"
None provided,,"British Columbia, CA"
None provided,,"British Columbia, CA"
Revealing Silent Brightness,,"Ontario, CA"
Toronto Metropolitan University - School of Nutrition,,"Ontario, CA"
None provided,,"British Columbia, CA"
Integral HR Solutions Inc.,www.integralhrsolutions.ca,"Ontario, CA"
The Bakers Workshop Consulting,thebakersworkshop.ca,"Ontario, CA"
Busi-Bake,--,"Nova Scotia, CA"
Rise Baking Lab,https://www.risebakinglab.com/,"British Columbia, CA"
VanAm Venture,--,"British Columbia, CA"
Con-Eng Design Build,--,"Ontario, CA"
Rocky Mountain Butter Cake Co.,--,"Alberta, CA"
Ojai Group - Commodities Consultant,www.ojaitrading.com,"Ontario, CA"
Big Deal Ingredients,http://bigdealingredients.ca,"British Columbia, CA"
DI Baking Consultant,,"Ontario, CA"
Ken Hall Contractors Ltd,,"British Columbia, CA"
All Gold Imports,--,"Ontario, CA"
Conovey,--,"Ontario, CA"
Aromatics Flavors Inc,,"Ontario, CA"
Aromatics Flavors Inc,,"Ontario, CA"
Mimac Glaze Limited,,"Ontario, CA"
VC999 Ltd,VC999.com,"Quebec, CA"
Redux Nutrition Ltd,--,"British Columbia, CA"
Marsia Foods Inc,--,"Ontario, CA"
Contemar Silo Systems Inc,,"Ontario, CA"
Albion Bakery Supplies,,"Ontario, CA"
Traynors Bakery Wholesale,,"Ontario, CA"
Allied Halo Industries Inc,,"Ontario, CA"
EM Bakery Equipment BC Ltd,,"British Columbia, CA"
UPak Group of Companies,,"Ontario, CA"
Port Royal Mills,,"Ontario, CA"
Brant Flour Mills Limited,,"Ontario, CA"
O K Frozen Dough,,"British Columbia, CA"
EggSolutionsVanderpols Inc,,"British Columbia, CA"
Marquis Milling Co,,"Saskatchewan, CA"
Malabar Ingredients,,"Ontario, CA"
FlavorSum,,"Ontario, CA"
Olaf Packaging Group Inc,,"Alberta, CA"
Packaging Machinery Concepts Ltd,,"Ontario, CA"
Snow Cap Enterprises Ltd,,"British Columbia, CA"
Blendtek Ingredients,,"Ontario, CA"
Food In CA,,"Ontario, CA"
Olympic Wholesale Co. Ltd.,--,"Ontario, CA"
Maritime Pride Eggs/Nutrigroupe,Maritime Pride Eggs,"Nova Scotia, CA"
Marsia Foods Inc,www.marsia.ca,"Ontario, CA"
AIC Canada Pan coatings inc.,--,"British Columbia, CA"
Redux Nutrition Ltd,--,"British Columbia, CA"
Redux Nutrition Ltd,--,"British Columbia, CA"
France Décor Canada/Vixit,https://www.vixit.com/,"Quebec, CA"
GRAIN PROCESS ENTERPRISES LTD,--,"Ontario, CA"
Majestic Casters & Equipment,,"Ontario, CA"
Chocoland (ABZ Wholesale),www.chocolateland.ca,"Ontario, CA"
Island Pastry Haus & More,--,"British Columbia, CA"
Fry's Bakery,,"British Columbia, CA"
Happy Monk Baking Company,,"British Columbia, CA"
Azzurri Italian Pasticceria,,"British Columbia, CA"
Coaldale Bakery,--,"Alberta, CA"
Windmill Bakery Pastry Shop,--,"Ontario, CA"
Uprising Breads Bakery,--,"British Columbia, CA"
Koster Baking Ltd,,"Alberta, CA"
Terra Breads,--,"British Columbia, CA"
Hot Oven Bakery,,"Ontario, CA"
Foxs Bakery and Deli,,"Ontario, CA"
True Grain Bread,,"British Columbia, CA"
Duncan Garage Cafe Bakery,,"British Columbia, CA"
Gluten Free Me,--,"Ontario, CA"
Seraphinas Oven,--,"British Columbia, CA"
True Grain Bread,,"British Columbia, CA"
Lakeside Bakery,,"Ontario, CA"
Quesnel Bakery Ltd,--,"British Columbia, CA"
Current River Bakery,,"Ontario, CA"
Kathys Kakes,www.kathyskakes.ca,"Ontario, CA"
Montmartre Bakery,,"Ontario, CA"
Alderlane Farmhouse Bakery,,"British Columbia, CA"
Sunflower Bake Shop,,"Ontario, CA"
Golden Grain Bakery,--,"Saskatchewan, CA"
Hot Chocolates & Cakebread Artisan Bakery,--,"British Columbia, CA"
The Kootenay Bakery Cafe Cooperative,https://thekootenaybakerycafe.com/,"British Columbia, CA"
Imagine Studio Cafe,,"British Columbia, CA"
SAB Services Ltd,www.sabfruitcake.com,"Ontario, CA"
Jawad Modern Bakeries Co.,--,"Ontario, CA"
Harbord Bakery,--,"Ontario, CA"
Cook Nook Bakery,Nil,"New Brunswick, CA"
Dalia Bakery Inc.,www.daliacake.com,"Ontario, CA"
Salt Water Bakery,,"British Columbia, CA"
Quality Bakery 1981 Ltd,invermerebakery.com,"British Columbia, CA"
Wild Culture Bakery,,"British Columbia, CA"
Stark Raving Bread,,"British Columbia, CA"
La Roux Pâtisserie,Laroux.ca,"British Columbia, CA"
Smør Scandinavian Bakery,smor.ca,"British Columbia, CA"
Lepp's Bakehouse & Delicatessen,,"British Columbia, CA"
Shada Bakery Ltd,,"Ontario, CA"
Ooh La La Cupcakes Inc.,,"British Columbia, CA"
Pransa Cake Ltd,www.pransacake.com,"Ontario, CA"
Discovery Coffee (Yonnis Bakery),--,"British Columbia, CA"
La Focacceria Artisan Bakery,www.lafocacceria.ca,"British Columbia, CA"
Grounds for Coffee,groundsforcoffee.ca,"British Columbia, CA"
Grounds for Coffee,groundsforcoffee.ca,"British Columbia, CA"
Harvest Bakery & Deli,--,"Manitoba, CA"
ARD BAKERY LTD.,--,"British Columbia, CA"
Whole Note Grains Co.,wholenotegrains.ca,"Ontario, CA"
Homestead Artisan Bakery,http://www.homesteadartisanbakery.com/,"Ontario, CA"
Old Church Bakery Inc.,oldchurchbakery.com,"Manitoba, CA"
Bliss Bakery,blissbakery.ca,"British Columbia, CA"
Baker Street Bakery,--,"Ontario, CA"
Aygol Bakery Inc.,--,"British Columbia, CA"
The Bread Essentials,www.thebreadessentials.com,"Ontario, CA"
Felix & Norton Markham,www.fncookies.com,"Ontario, CA"
Felix & Norton Markham,www.fncookies.com,"Ontario, CA"
Tall Grass Prairie Bread Co. (at the Forks),https://tallgrassbakery.ca/,"Manitoba, CA"
The Sweet North,Thesweetnorth.ca,"Ontario, CA"
The Sweet North,--,"Ontario, CA"
Kortob-Mom Bakery,--,"Manitoba, CA"
Tommy's Whole Grain,tommyswholegrain.com,"British Columbia, CA"
Blackbird Baking Company,www.blackbirdbakingco.com,"Ontario, CA"
Blackbird Bread Works,www.blackbirdbakingco.com,"Ontario, CA"
The Lively Loaf,--,"Ontario, CA"
The Measuring Spoon,themeasuringspoon.ca,"Ontario, CA"
The Measuring Spoon,themeasuringspoon.ca,"Ontario, CA"
Elmvale Bakery,--,"Ontario, CA"
D'Amours Bakery,--,"Ontario, CA"
Northgate bakery,--,"Saskatchewan, CA"
Old Town Bakery Ltd,oldtownbakery.ca,"British Columbia, CA"
Jackie's Creative Cakes & Sweets,www.jackiescreativecakes.com,"Ontario, CA"
Sherry's Inc.,YES,"Ontario, CA"
Sherry's Inc,yes,"Ontario, CA"
Do Good Donuts,Www.dogooddonuts.org,"Ontario, CA"
Lady Glaze Doughnuts Inc,www.ladyglazedoughnuts.com,"Ontario, CA"
Leaven to Loaf,,"Ontario, CA"
Leaven to Loaf,,"Ontario, CA"
Portovelo Cafe,,"Ontario, CA"
Spicer’s Bakery,,"Ontario, CA"
BAKEHOUSE,--,"Alberta, CA"
The Beauregard Experience,--,"Manitoba, CA"
Tdelight Ventures,--,"Ontario, CA"
