title,domain
1 Supplies Inc,1supplies.ca
5REDO,5redo.ca
AB InBev,ab-inbev.com
Abbey Packaging Equipment Ltd.,abbeypackaging.com
Acorn Packaging Inc.,acornpkg.com
Aduro Clean Technologies Inc.,adurocleantech.com
AESUS (DL Tech),aesus.com
Ahead of the Curve Group,aheadofthecurvegroup.com
Aire Global,aireglobal.com
Alberta Beverage Container Recycling Corporation,abcrc.com
Alex E. Jones,alexejones.ca
Allcard Limited,allcard.ca
AlphaPoly Packaging,alphapoly.com
American Packaging Corporation,americanpackaging.com
"AQIFE â€“ Alliance QuÃ©bÃ©coise des Imprimeurs et Fabricants
            dâ€™Emballage",atffeq.ca
ARD,ard.ch
Arranti,arranti.com
ASL Print FX (All Stick Label),aslprintfx.com
Atlantic Packaging Products,atlantic.ca
AxiPolymer,axipolymer.com
B&B Custom MFG and Consulting,linkedin.com
Balluff Canada Inc.,balluff.com
BASF Canada,hbasf.com
Berlin Packaging,berlinpackaging.com
Best Packaging Systems Inc.,bestpackagingsystems.com
BI-AX International Inc.,biaxinc.com
Bluewater Recycling Association,bra.org
Bo Branding & Design Agency Ltd.,bobranding.com
Bosk Bioproducts Inc.,bosk-bioproducts.com
Bridgemark,bridgemark.agency
Busch Vacuum Solutions,buschvacuum.com
BW Converting PCMC/ Hudson-Sharp,bwconverting.com
Cal Poly State University,calpoly.edu
CalRecycle,calrecycle.ca.gov
CAM Packaging Systems,cam-systems.ca
Canada Plastics Pact,plasticspact.ca
Canada Post,canadapost-postescanada.ca
Canadian Corrugated and Containerboard Association (CCCA),cccabox.org
Canadian Packaging Magazine,canadianpackaging.com
Canadian Produce Marketing Association (CPMA),cpma.ca
Canadian Stewardship Conference,canadianstewardship.com
Canadian Tire,corp.canadiantire.ca
Capmatic,capmatic.com
Capo Industries,capoindustries.com
Carton Council Canada,recyclecartons.ca
Cascades Canada,cascades.com
Cavendish Farms,cavendishfarms.com
CBX,cbx.com
CCC Packaging,cccpack.com
Cegep Beauce-Appalaches,cegepba.qc.ca
Centennial College,centennialcollege.ca
Centura Brands Inc.,centurabrands.com
CGP Expal Inc.,cgp-coating.com
Charter Next Generation,cnginc.com
Circular Economy Leadership Coalition,circulareconomyleaders.ca
Circular Materials,circularmaterials.ca
Circular Solutions Inc.,reusables.com
Circulr Inc.,circulr.ca
City of Richmond,richmond.ca
CIULLA ASSOC,ciulla-assoc.com
CKF Inc.,ckfinc.com
Cleanfarms,cleanfarms.ca
Clear Strategy Inc.,clearstrategy.ca
Clemson University,clemson.edu
Clorox Corporation of Canada,thecloroxcompany.com
Club Coffee,clubcoffee.ca
Coca Cola Ltd.,coca-cola.com
Coho Creative,cohocreative.com
Colgate Palmolive Company,colgatepalmolive.ca
ColorAd Packaging Ltd.,colorad.ca
Colour Innovations,colourinnovations.com
Conestoga College,conestogac.on.ca
Conros,conros.com
Contract Packaging Association,contractpackaging.org
Contrast Branding,thebrandcontrast.com
Control GMC Inc.,controlgmc.com
Corporate Image,corp-image.com
Costco Wholesale Canada,costco.ca
Crowâ€™s Nest Environmental,crowsnestenvironmental.com
Crown Packaging,crownpackaging.com
CRS Packaging,crspackaging.ca
CRS VAMIC,crsvamic.ca
Crusader Paper Company,crusaderpaper.com
CS Consultants,linkedin.com
CTI Chromatic Techologies Inc.,ctiinks.com
Danone,danone.com
Dare Foods Limited,darefoods.com
Davis,davis.agency
DCM,datacm.com
Deco Labels & Flexible Packaging,decolabels.com
DGT Solutions Inc.,dgtsolutions.ca
Diageo,diageo.com
Digimarc,digimarc.com
Digital Packaging Innovations Holdings Ltd,dpiholdings.com
DMS Marquage Codage,dmsmarking.com
Domino UK Limited,domino-printing.com
DRINK WORKS,drinkworks.co.uk
Durham College,durhamcollege.ca
Duropac,duropac.com
Dustie Sands,facebook.com
Dyversity Communications Inc.,dyversity.com
Ã‰co Entreprises QuÃ©bec (EEQ),eeq.ca
Edgewell Personal Care,edgewell.com
EFS-plastics Inc.,efs-plastics.ca
Elfe Plastik Inc.,elfeplastik.com
Elmes Packaging,elmespackaging.com
Emballages Mitchell-Lincoln Ltee.,mitchellincoln.ca
Emterra Group,emterra.ca
Encorp Pacific (Return-It),return-it.ca
Equator Design,equator-design.com
Ernst & Young Orenda Corporate Finance,ey.com
EvianPac,evianpac.com
Experimenta LLC,experimentandsee.com
Farnell Packaging Limited,farnell.ca
Fastkit Luxury Packaging,fastkitpack.com
FGF Brands,fgfbrands.com
Fish Agency,therealfish.agency
Flint Group,flintgrp.com
Food Health & Consumer Products of Canada (FHCP),fhcp.ca
Food In Canada,foodincanada.com
forceMAJEURE Design,forcemajeure.design
Fortress Technology,fortresstechnology.com
Friendlier,friendlier.ca
Fromm Packaging Systems,frommstrappingsystems.com
Frugalpac Ltd.,frugalpac.com
Fullstep Consulting Inc.,fullstep.ca
Furlani Foods,furlanifoods.com
GCP Consulting,gcpconsulting.ca
Gelpac Group,gelpac.com
Genera,generainc.com
GeneraCycle Inc.,generacycle.com
George Brown College,georgebrown.ca
GFL Environmental Inc.,gflenv.com
GH Gunther Huettlin Manufacturing,ghmanufacturing.com
GMG Color,gmgcolor.com
Goldrich Printpak Inc.,goldpak.com
Google LLC,headquartersinfo.com
Graphic Arts Magazine,graphicartsmag.com
Graphic Packaging International,graphicpkg.com
Graphics Canada,graphicscanada.com
"Green Valley Technology (Zhuhai) Co., Ltd.",otarapack.com
Greener Package,packworld.com
Greenstreets Environmental Resources (Canada) Inc.,greenstreetsepr.ca
Grocery Business Media,grocerybusiness.ca
Groupe AGECO,groupeageco.ca
Groupe Sacs Frontenac Inc.,frontenacgroupe.com
Guests on Earth,guestsonearth.com
H.B. Fuller,hbfuller.com
Harlund Industries Ltd.,harlund.com
Harpak â€“ ULMA Packaging LLC,harpak-ulma.com
Hartmann North America,hartmann-packaging.com
Heat and Control,heatandcontrol.com
Heat Sealing Packaging,heatsealing.ca
Heidelberg Canada Graphic Equipment,heidelberg.com
Helen Hartley Consulting,helenhartleyconsulting.com
Henkel Corporation,henkel-adhesives.com
Heritage Plastics,heritage-plastics.com
High Liner Foods,highlinerfoods.com
High Valley Consulting Services,linkedin.com
Homeland Manufacturing,bclna.com
Hood Packaging Corporation,hoodpkg.com
HP Indigo,www8.hp.com
Humber College,humber.ca
Ice River Sustainable Solutions,iceriversustainablesolutions.com
ICON Digital Productions Inc.,icondigital.com
IFS â€“ International Featured Standards,ifs-certification.com
Imperial Dade Canada Inc.,imperialdade.com
Informa Markets,informa.com
Innofibre â€“ Innovation Center of Cellulosic Products,cegeptr.qc.ca
"Institut de technologie des emballages et du genie alimentaire
            (ITEGA)",itega.ca
Institut des communications graphiques du Quebec,i-ci.ca
Intelligrated Industries Canada,intelligrated.com
Invok Brands,invokbrands.com
Irving Consumer Products,irvingconsumerproducts.com
Italic Press,italicpress.com
JDO Ltd.,jdouk.com
Jokey North America,jokey.com
Jon Pyper Consulting Inc.,linkedin.com
Jones Healthcare Group,joneshealthcaregroup.com
KacePack Limited,kacepack.com
Kaps All Packaging Systems Inc,kapsall.com
Karcher Canada Inc.,kaercher.com
Kellanova,kelloggs.co.uk
Keurig Canada,keurig.ca
Kinsbrae Packaging,kinsbraegroup.com
Kobayashi & Zeitguys,kobayashi.ca
Kraft Heinz Canada,kraftheinzcompany.com
Label Design Ltd.,labeldesign.ca
Lactalis Canada,parmalat.ca
Landa Digital Printing,landanano.com
Lawfirm Joachim Quoden,quoden.com
Leaderlinx,leaderlinx.com
Legacy Environmental Solutions,legacyenvironmental.ca
Litho-Pak Inc.,litho-pak.com
Little Big Brands,littlebigbrands.com
Loblaw Companies Ltd.,loblaw.ca
Longford International Ltd.,longfordint.com
Lorpon Labels Inc.,lorponlabels.com
Luminite Products Corp,luminite.com
Lush Fresh Handmade Cosmetics,lush.ca
"Magnomer, Inc.",magnomer.in
Malpack Ltd.,malpack.ca
Manchester Metropolitan University,mmu.ac.uk
Maple Leaf Foods Inc.,mapleleaffoods.com
Maple Lodge Farms,maplelodgefarms.com
Maritime Paper Products Limited,maritimepaper.com
Master Packaging Inc.,master-packaging.com
Mastronardi Produce Ltd,sunsetgrown.com
MCC,mcclabel.com
McCain Foods (Canada),mccain.com
McDonalds Restaurants of Canada,mcdonalds.com
McGill University,mcgill.ca
Metro Inc.,metro.ca
Metro Vancouver,metrovancouver.org
miniGiants Inc.,minigiants.co
Mintel Group Ltd.,mintel.com
"Miraclon, Home of Kodak Flexcel Solutions",miraclon.com
Mohawk College,mohawkcollege.ca
Molson Coors Brewing Company,molsoncoors.com
Mother Parkerâ€™s Tea and Coffee Inc,mother-parkers.com
Mucci Farms,muccifarms.com
Multivac Canada Inc.,ca.multivac.com
Munich University of Applied Sciences,hm.edu
Municipal Waste Association,municipalwaste.ca
Nature Fresh Farms,naturefreshfarms.com
NaviLens,navilens.com
Neptune Nanotechnologies,neptunenano.com
Nestle Canada Inc.,madewithnestle.ca
Newmapak Ltd.,newmapak.com
Niagara Pallet & Recyclers Ltd.,niagarapallet.ca
NielsenIQ,nielseniq.com
Norlands Box Company Inc.,norlands.com
Northern Label Group,northernlabel.com
NSF International,nsf.org
O-I,o-i.com
Ocean Wise,ocean.org
Olberding Brand Family,olberdingbrands.com
OMNIA Packaging Inc.,omniapackaging.ca
Ontario College of Art & Design (OCAD),ocadu.ca
Ontario Fruit & Vegetable Grower Association,ofvga.org
Optikka,optikka.io
Orfer Inc,orfer.ca
Orxestra,transearchusa.com
Overflow Design,overflowdesign.com
P-Duplex Inc.,p-duplex.ca
Pack-Smart Inc.,packsmartinc.com
Pack3000 Canada Ltd.,pack3000.com
Packaging Digest,packagingdigest.com
Packaging Technology and Research,packagingtechnologyandresearch.com
Packall Packaging Inc,packall.com
PakItGreen Inc,pakitgreen.com
Pano Cap Canada Ltd,panocap.com
Paperboard Packaging Council (PPC),paperbox.org
Paperworks Packaging Group,onepaperworks.com
Pearlfisher Inc.,pearlfisher.com
Peel Plastic Products Limited,peelplastics.com
PEI Bag Co Ltd,peibag.com
PFM Packaging Machinery Corporation,pfmnorthamerica.com
Pigeon Brands,pigeonbrands.com
PJClayton & Co.,pjclayton.com
Plan Automation Inc.,planautomation.com
Plan IT Packaging Systems Inc,planitpackaging.com
Plastic Film Corporation,plasticfilmcorporation.com
Plastics New Zealand Incorporated,plastics.org.nz
Plastics Touchpoint Group,plasticstouchpoint.com
Plastipak Industries Inc,plastipak.ca
PMMI,pmmi.org
Pollard Banknote Limited,pollardbanknote.com
Polytainers Inc,polytainersinc.com
"PPEC (The Paper & Paperboard Packaging Environmental
            Council)",ppec-paper.com
Printex Transparent Packaging,ptpackaging.com
ProAmpac,proampac.com
Procter & Gamble Inc.,pg.ca
Promotional Print and Packaging,promotionalprint.ca
PTIS,ptisglobal.com
Quadra Chemicals Ltd,quadra.ca
RBI â€“ Restaurant Brands International,rbi.com
Reclay StewardEdge,reclaystewardedge.com
Recycle BC,recyclebc.ca
Recycled Paperboard Alliance,rpa100.com
Recycling Council of Alberta,recycle.ab.ca
Recycling Council of Ontario,rco.com
REDEMAC Inc.,redemac.com
Reflective Media Inc.,reflective-media.com
Regional Municipality of Peel,peelregion.ca
Reiser (Canada) Co.,reiser.com
Restaurants Canada,restaurantscanada.org
Retail Council of Canada,retailcouncil.org
Returnity,returnity.co
Riverside Natural Foods Ltd.,riversidenaturalfoods.com
Riviana Foods Canada Corporation,riviana.com
RNIB (Royal National Institute of Blind People),rnib.org.uk
Robatech Canada Inc,robatech.com
ROBOPLAST SRL,roboplast.com
Rochester Institute of Technology,rit.edu
Rootree,rootree.ca
Ropack Inc,ropack.com
Sager Food Products,sagerfoods.com
Saint Francis Xavier University,stfxuniversity.ca
Saputo Dairy Products Canada G.P.,saputo.com
SCAD â€“ Savannah College Art & Design,scad.edu
Scanpack Inc.,scanpack.ca
Scotia Investments Limited,scotiainvestments.ca
SDI Packaging Inc.,sdipackaging.com
Seneca College,senecacollege.ca
Sesotec Canada Ltd.,sesotec.com
SGK,sgkinc.com
SGO Premedia Limited,sgopremedia.com
SGS & Co,sgsco.com
Sheridan College,sheridancollege.ca
Shikatani Lacroix Design Inc.,sld.com
Shipmaster Containers Limited,shipmaster.com
SIAL Canada,sialcanada.com
Sigma Stretch Film,sigmastretchtools.com
Significans Automation,significans.com
Silgan Plastics Canada Inc,silganplastics.com
Smucker Foods of Canada Co,jmsmucker.com
Smurfit Westrock,smurfitwestrock.com
Sobeys Inc.,sobeys.com
Southern Alberta Institute of Technology (SAIT),sait.ca
Spicers Canada ULC,spicers.ca
Spinrite Inc.,spinriteyarns.com
SRWDesign Studio,susanwackerdonle.com
Strapco inc.,strapco.ca
Sundance,sundancepackaging.com
SustainableStrat Inc.,sustainablestrat.com
Taurus Craco Machinery Inc.,tauruscraco.com
TC Transcontinental Packaging,tctranscontinental.com
Tempo Flexible Packaging,tempoflexiblepackaging.com
Terracycle Canada Inc.,terracycle.com
Tetra Pak Canada Inc,tetrapak.com
The International Group Inc,igiwax.com
The Legends Project,thelegendsproject.org
The Natural Step Canada,naturalstep.ca
The PackHub,thepackhub.com
Tim Hortons Inc â€“ The TDL Group,timhortons.ca
Toronto Metropolitan University,torontomu.ca
Transcendia Inc.,transcendia.com
Trivium Packaging,triviumpackaging.com
Unilever,unilever.com
UniTrak Corporation Limited,unitrak.com
UniversitÃ© Laval,ulaval.ca
University College Dubllin,ucd.ie
University of British Columbia,ubc.ca
University of Florida / IFAS,ufl.edu
University of Guelph,uoguelph.ca
University of Manitoba,umanitoba.ca
University of Portsmouth,port.ac.uk
University of Toronto,utoronto.ca
University of Waterloo,uwaterloo.ca
University of Wisconsin â€“ Stout,uwstout.edu
Valco Melton,valcomelton.com
Value Chain Management International Inc.,vcm-international.com
Van Genechten Packaging,vangenechten.com
VC999 Canada Ltd.,vc999.com
Victorialand Beauty LLC,victorialandbeauty.com
Vins Plastics Ltd.,vinsplastics.ca
VOYOU BOUFFE,voyou.com
Walmart Canada,walmartcanada.ca
Weber Marking Systems of Canada,weberpackaging.com
Wedlock Paper Converters Limited,wedlockpaper.com
WG Pro Manufacturing Inc.,wgcorporate.com
Wikoff Color Corp,wikoff.com
Windset Farms,windsetfarms.com
Winpak Ltd.,winpak.com
Wonderbrands,wonderbrands.com
WOW Factor,wowfactorco.com
Yaskawa Motoman Robotics Canada,motoman.com
Zappar Ltd.,zappar.com
